Insee code,Postal code,City Name,Department,Population,Number of Building Permit,Building Score,GeoPoint
75104,75004,PARIS-4E-ARRONDISSEMENT,PARIS,28.2,218,7.7304964,"48.854228282,2.35736193814"
78297,78280,GUYANCOURT,YVELINES,28.2,567,20.106382,"48.7730783892,2.07605207737"
78646,78000,VERSAILLES,YVELINES,86.5,743,8.589596,"48.8025669671,2.11789297191"
91021,91290,ARPAJON,ESSONNE,10.4,144,13.846154,"48.5908921647,2.24349117607"
92033,92380,GARCHES,HAUTS-DE-SEINE,18.3,569,31.092897,"48.8450113548,2.18665007789"
92019,92290,CHATENAY-MALABRY,HAUTS-DE-SEINE,32.4,1674,51.666664,"48.7681690197,2.26282598525"
95539,95350,SAINT-BRICE-SOUS-FORET,VAL-D'OISE,14.2,6,0.4225352,"49.0019033624,2.35030688962"
77337,77186,NOISIEL,SEINE-ET-MARNE,15.5,355,22.903225,"48.8460926469,2.61997100426"
91692,91940,LES ULIS,ESSONNE,24.7,55,2.2267206,"48.680321482,2.18518955"
91216,91360,EPINAY-SUR-ORGE,ESSONNE,10.1,319,31.584158,"48.672618112,2.31834586071"
